ind/benchmarks-dti/clam/goal39, 2:00.00, 121.14, 1.98, Unknown
ind/benchmarks-dti/clam/goal28, 2:00.00, 120.16, 0.55, Unknown
ind/benchmarks-dti/clam/goal32, 2:00.00, 120.77, 1.40, Unknown
ind/benchmarks-dti/clam/goal66, 0:00.46, 0.45, 0.00, Proved
ind/benchmarks-dti/clam/goal23, 2:00.00, 120.94, 1.56, Unknown
ind/benchmarks-dti/clam/goal8, 0:04.42, 4.39, 0.03, Unknown
ind/benchmarks-dti/clam/goal18, 2:00.00, 120.12, 0.19, Unknown
ind/benchmarks-dti/clam/goal48, 2:00.00, 120.93, 1.76, Unknown
ind/benchmarks-dti/clam/goal65, 0:00.16, 0.09, 0.01, Proved
ind/benchmarks-dti/clam/goal86, 2:00.01, 120.47, 0.93, Unknown
ind/benchmarks-dti/clam/goal60, 0:00.30, 0.29, 0.01, Proved
ind/benchmarks-dti/clam/goal26, 0:00.65, 0.64, 0.00, Proved
ind/benchmarks-dti/clam/goal75, 0:02.51, 2.49, 0.04, Proved
ind/benchmarks-dti/clam/goal73, 2:00.01, 120.00, 0.61, Unknown
ind/benchmarks-dti/clam/goal81, 2:00.00, 120.50, 0.87, Unknown
ind/benchmarks-dti/clam/sg/goal-sg16, 0:00.70, 0.71, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg9, 0:01.78, 1.76, 0.03, Proved
ind/benchmarks-dti/clam/sg/goal-sg23, 2:00.00, 120.46, 0.93, Unknown
ind/benchmarks-dti/clam/sg/goal-sg50, 0:05.13, 5.15, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg28, 0:02.23, 2.25, 0.03, Proved
ind/benchmarks-dti/clam/sg/goal-sg3, 0:00.12, 0.10, 0.01, Proved
ind/benchmarks-dti/clam/sg/goal-sg5, 0:00.91, 0.91, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg1, 0:00.89, 0.91, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg6, 2:00.00, 120.56, 1.24, Unknown
ind/benchmarks-dti/clam/sg/goal-sg20, 0:00.42, 0.41, 0.01, Proved
ind/benchmarks-dti/clam/sg/goal-sg4, 0:00.91, 0.89, 0.04, Proved
ind/benchmarks-dti/clam/sg/goal-sg30, 0:06.49, 6.57, 0.10, Proved
ind/benchmarks-dti/clam/sg/goal-sg8, 0:00.15, 0.14, 0.01, Proved
ind/benchmarks-dti/clam/sg/goal-sg33, 0:00.58, 0.57, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg84, 2:00.01, 117.92, 2.25, Unknown
ind/benchmarks-dti/clam/sg/goal-sg85, 0:00.12, 0.11, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg80, 0:01.95, 1.94, 0.03, Proved
ind/benchmarks-dti/clam/sg/goal-sg13, 0:02.21, 2.22, 0.04, Proved
ind/benchmarks-dti/clam/sg/goal-sg31, 0:07.26, 7.31, 0.06, Proved
ind/benchmarks-dti/clam/sg/goal-sg21, 0:01.69, 1.69, 0.01, Proved
ind/benchmarks-dti/clam/sg/goal-sg86, 2:00.04, 117.96, 2.10, Unknown
ind/benchmarks-dti/clam/sg/goal-sg7, 0:00.34, 0.28, 0.01, Proved
ind/benchmarks-dti/clam/sg/goal-sg11, 1:53.36, 113.48, 0.47, Proved
ind/benchmarks-dti/clam/sg/goal-sg82, 2:00.00, 120.71, 1.36, Unknown
ind/benchmarks-dti/clam/sg/goal-sg35, 0:01.48, 1.45, 0.03, Proved
ind/benchmarks-dti/clam/sg/goal-sg26, 0:00.60, 0.60, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg18, 0:10.01, 9.94, 0.10, Proved
ind/benchmarks-dti/clam/sg/goal-sg32, 0:00.94, 0.93, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg24, 0:00.49, 0.49, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg15, 0:00.47, 0.48, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg79, 0:02.12, 2.13, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg2, 0:01.82, 1.80, 0.03, Proved
ind/benchmarks-dti/clam/sg/goal-sg78, 0:02.00, 1.98, 0.03, Proved
ind/benchmarks-dti/clam/sg/goal-sg12, 0:00.27, 0.28, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg14, 0:00.88, 0.88, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg77, 0:02.32, 2.32, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg29, 0:06.57, 6.64, 0.11, Proved
ind/benchmarks-dti/clam/sg/goal-sg10, 0:01.48, 1.49, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg48, 0:00.97, 0.98, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg49, 0:02.72, 2.72, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg27, 0:00.97, 0.97, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg76, 0:00.33, 0.33, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg75, 0:00.28, 0.27, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg34, 0:00.11, 0.11, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg81, 2:00.00, 120.54, 1.27, Unknown
ind/benchmarks-dti/clam/sg/goal-sg25, 0:00.25, 0.24, 0.00, Proved
ind/benchmarks-dti/clam/sg/goal-sg19, 0:02.33, 2.32, 0.04, Proved
ind/benchmarks-dti/clam/sg/goal-sg83, 0:01.73, 1.72, 0.02, Proved
ind/benchmarks-dti/clam/sg/goal-sg22, 2:00.00, 120.41, 0.68, Unknown
ind/benchmarks-dti/clam/sg/goal-sg17, 0:00.27, 0.26, 0.01, Proved
ind/benchmarks-dti/clam/goal67, 0:00.10, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal64, 0:00.24, 0.23, 0.00, Proved
ind/benchmarks-dti/clam/goal56, 2:00.00, 120.13, 0.32, Unknown
ind/benchmarks-dti/clam/goal22, 0:11.16, 11.20, 0.08, Unknown
ind/benchmarks-dti/clam/goal45, 0:01.58, 1.56, 0.02, Proved
ind/benchmarks-dti/clam/goal57, 2:00.00, 120.32, 0.43, Unknown
ind/benchmarks-dti/clam/goal37, 0:03.57, 3.59, 0.05, Proved
ind/benchmarks-dti/clam/goal13, 0:02.25, 2.26, 0.04, Proved
ind/benchmarks-dti/clam/goal19, 2:00.00, 120.52, 1.12, Unknown
ind/benchmarks-dti/clam/goal42, 0:00.10, 0.00, 0.00, Unknown
ind/benchmarks-dti/clam/goal36, 0:02.79, 2.81, 0.02, Proved
ind/benchmarks-dti/clam/goal59, 0:01.79, 1.77, 0.03, Proved
ind/benchmarks-dti/clam/goal24, 0:00.46, 0.46, 0.00, Proved
ind/benchmarks-dti/clam/goal47, 0:07.25, 7.29, 0.10, Proved
ind/benchmarks-dti/clam/goal25, 0:00.24, 0.24, 0.00, Proved
ind/benchmarks-dti/clam/goal61, 0:00.10, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal9, 2:00.00, 119.97, 0.48, Unknown
ind/benchmarks-dti/clam/goal55, 2:00.00, 120.13, 0.33, Unknown
ind/benchmarks-dti/clam/goal5, 2:00.00, 120.82, 1.24, Unknown
ind/benchmarks-dti/clam/goal53, 0:00.11, 0.10, 0.00, Proved
ind/benchmarks-dti/clam/goal35, 0:04.16, 4.16, 0.02, Proved
